xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSMedicationStatement.medication,MedicationUse.ProductUsed::PharmaceuticalProduct,ProductUsed::PharmaceuticalProduct,MedicationUse.ProductUsed::PharmaceuticalProduct,NL: Gebruiksproduct::FarmaceutischProduct,,1,"data,reference",NL-CM:9.11.21339,"The product used. This is usually medication. Food, blood products, aids and bandages do not strictly fall under the category of medication, but can be recorded as well. 

In principle, this will be the prescribed product, but the product used may differ from the prescribed product.",,EHDSMedicationStatement.medication,EHDSMedicationStatement.medication,Describes the medicinal product.,Describes the medicinal product.,EHDSMedication,1..1,
EHDSMedicationStatement.medicationReason,,,,,,,,,,,EHDSMedicationStatement.medicationReason,EHDSMedicationStatement.medicationReason,"Coded reason for the use of the medication (typically diagnosis, or a procedure)","Coded reason for the use of the medication (typically diagnosis, or a procedure)",CodeableConcept,0..*,
EHDSMedicationStatement.medicationReasonText,MedicationUse.ReasonForUse,ReasonForUse,MedicationUse.ReasonForUse,NL: RedenGebruik,ST,0..1,data,NL-CM:9.11.22491,"The reason for using the medication, particularly in self-care medicine purchased by the patient themselves.",SNOMED CT: 11611000146100 Reason for taking medication,EHDSMedicationStatement.medicationReasonText,EHDSMedicationStatement.medicationReasonText,"Reason for the use of the medication (typically diagnosis, or a procedure) in free text.","Reason for the use of the medication (typically diagnosis, or a procedure) in free text.",string,0..1,
EHDSMedicationStatement.intendedUseType,,,,,,,,,,,EHDSMedicationStatement.intendedUseType,EHDSMedicationStatement.intendedUseType,"The type of intended use of the medication, e.g. prophylactic, therapeutic, diagnostic, anesthesia, etc.","The type of intended use of the medication, e.g. prophylactic, therapeutic, diagnostic, anesthesia, etc.",CodeableConcept,0..1,
EHDSMedicationStatement.dosageInstructions,MedicationUse.InstructionsForUse,InstructionsForUse,MedicationUse.InstructionsForUse,NL: Gebruiksinstructie::GebruiksInstructie,,0..1,"data,reference",NL-CM:9.11.22504,"Instructions for the use of the medication, e.g. dose and route of administration. In the event of medication use, this is the pattern of use established by the patient or that the patient followed.",,EHDSMedicationStatement.dosageInstructions,EHDSMedicationStatement.dosageInstructions,Details of how medication is/was taken or should be taken,"Details of how medication is/was taken or should be taken. This includes the number of units per intake and frequency of intake over a specified duration of time. Example: 1 tablet every 24h, for 10 days .",EHDSDosaging,1..*,
EHDSMedicationStatement.periodOfUse,MedicationUse.PeriodOfUse::TimeInterval,PeriodOfUse::TimeInterval,MedicationUse.PeriodOfUse::TimeInterval,NL: Gebruiksperiode::TijdsInterval,,1,"data,reference",NL-CM:9.11.22663,"Medication use can be recorded for a certain moment or over a certain period. Thus, medication use can be recorded multiple times during the use of medication. The usage period is the period or moment over which the data is recorded.
Start date: This is the time at which the agreement was to take effect (or took effect or will take effect). 
Duration: The intended duration of use. E.g. 5 days or 8 weeks. It is not allowed to indicate the duration in months, because different months have a variable duration in days. 
End date: The time at which the period of use ends (or ended or will end). To avoid confusion between 'to' and 'up until and including', the submission of time is always mandatory for the end date.",,EHDSMedicationStatement.periodOfUse,EHDSMedicationStatement.periodOfUse,"Period when patient took, is taking or is expected to take the medication","Period when patient took, is taking or is expected to take the medication. This information may be expressed using start and end date times OR indicating the duration. The first is used to indicate a specified interval (e.g., from March 15th, 2017); the latter for indicating a 'floating' period (e.g., 2 weeks). In case of unbounded period (continuous therapy), the end element will be valued with an exceptional value.",Period,0..1,
,MedicationUse.Prescriber::HealthProfessional,Prescriber::HealthProfessional,MedicationUse.Prescriber::HealthProfessional,NL: Voorschrijver::Zorgverlener,,0..1,"context,reference",NL-CM:9.11.23290,The health professional that entered the medication agreement with the patient.,,,,,,,,
,MedicationUse.MedicationUseDateTime,MedicationUseDateTime,MedicationUse.MedicationUseDateTime,NL: MedicatiegebruikDatumTijd,TS,1,data,NL-CM:9.11.22398,Date on which this use is entered.,,,,,,,,
,MedicationUse.AsAgreedIndicator,AsAgreedIndicator,MedicationUse.AsAgreedIndicator,NL: VolgensAfspraakIndicator,BL,0..1,data,NL-CM:9.11.22492,Is the medicine used as outlined in the medication agreement?,SNOMED CT: 112221000146107 Patient takes medication as prescribed,,,,,,,
,MedicationUse.MedicationUseStopType,MedicationUseStopType,MedicationUse.MedicationUseStopType,NL: MedicatiegebruikStopType,CD,0..1,data,NL-CM:9.11.23132,"Stop type, the manner in which this medication is discontinued (temporary or definitive).",,,,,,,,
,MedicationUse.ReasonModificationOrDiscontinuationOfUse,ReasonModificationOrDiscontinuationOfUse,MedicationUse.ReasonModificationOrDiscontinuationOfUse,NL: RedenWijzigenOfStoppenGebruik,CD,0..*,data,NL-CM:9.11.22493,Reason for changing or discontinuing use of medication.,SNOMED CT: 153861000146102 Reason for change of medication usage,,,,,,,
,MedicationUse.Comment,Comment,MedicationUse.Comment,NL: Toelichting,ST,0..1,data,NL-CM:9.11.21624,Comments on the medication use.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
