xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSAllergyIntolerance.header.language,,,,,,,,,,,EHDSAllergyIntolerance.header.language,EHDSAllergyIntolerance.header.language,Language in which the resource is written. Language is expressed by the IETF language tag.,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSAllergyIntolerance.agentOrAllergen,HypersensitivityIntolerance.Agent.Substance,Substance,HypersensitivityIntolerance.Agent.Substance,NL: Stof,CD,(0..1),data,NL-CM:8.6.15,The substance or group of substances that trigger a reaction in the patient upon exposure.,SNOMED CT: 105590001 Substance,EHDSAllergyIntolerance.agentOrAllergen,EHDSAllergyIntolerance.agentOrAllergen,"A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.","A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.",CodeableConcept,1..1,"{'strength': 'preferred', 'description': '1.3.6.1.4.1.12559.11.10.1.3.1.42.24 **eHDSIActiveIngredient** (ATC, used in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.61 eHDSISubstance (EMA SMS, used in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.19 eHDSIAllergenNoDrug (SCT, used in MH@EU); ICD-11 Allergens'}"
EHDSAllergyIntolerance.typeOfPropensity,,,,,,,,,,,EHDSAllergyIntolerance.typeOfPropensity,EHDSAllergyIntolerance.typeOfPropensity,"This element describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)","This element describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)",CodeableConcept,0..1,"{'strength': 'preferred', 'description': '1.3.6.1.4.1.12559.11.10.1.3.1.42.18 eHDSIAdverseEventType (SCT, used in MH@EU); http://hl7.org/fhir/ValueSet/allergy-intolerance-type (HL7, required in HL7 FHIR)'}"
EHDSAllergyIntolerance.description,HypersensitivityIntolerance.Comment,Comment,HypersensitivityIntolerance.Comment,NL: Toelichting,ST,0..1,data,NL-CM:8.6.12,Textual explanation of the hypersensitivity or intolerance which cannot be entered in any of the other fields.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSAllergyIntolerance.description,EHDSAllergyIntolerance.description,Textual description of the allergy or intolerance,Textual description of the allergy or intolerance,string,0..1,
EHDSAllergyIntolerance.criticality,HypersensitivityIntolerance.ExpectedRiskUponExposure,ExpectedRiskUponExposure,HypersensitivityIntolerance.ExpectedRiskUponExposure,NL: VerwachtRisicoBijBlootstelling,CD,0..1,data,NL-CM:8.6.11,"The healthcare professional's assessment of the expected severity of the reaction upon future exposure to the substance, group of substances or environmental factor to which the patient is hypersensitive or intolerant.",SNOMED CT: 340271000146105 Expected severity of reaction,EHDSAllergyIntolerance.criticality,EHDSAllergyIntolerance.criticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.",CodeableConcept,0..1,"{'strength': 'preferred', 'description': '1.3.6.1.4.1.12559.11.10.1.3.1.42.57 eHDSICriticality (HL7, used in MH@EU); http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality (HL7, required in HL7 FHIR)'}"
EHDSAllergyIntolerance.certainty,HypersensitivityIntolerance.DiagnosisStatus,DiagnosisStatus,HypersensitivityIntolerance.DiagnosisStatus,NL: DiagnoseStatus,CD,1,data,NL-CM:8.6.3,Indicates the status of the diagnostic process.,,EHDSAllergyIntolerance.certainty,EHDSAllergyIntolerance.certainty,"Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition","Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition",CodeableConcept,0..1,"{'strength': 'preferred', 'description': '1.3.6.1.4.1.12559.11.10.1.3.1.42.58 eHDSIAllergyCertainty (HL7, used in MH@EU) ; http://hl7.org/fhir/ValueSet/allergyintolerance-verification (HL7, required in HL7 FHIR)'}"
EHDSAllergyIntolerance.status,,,,,,,,,,,EHDSAllergyIntolerance.status,EHDSAllergyIntolerance.status,"Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.","Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.",CodeableConcept,0..1,"{'strength': 'preferred', 'description': '1.3.6.1.4.1.12559.11.10.1.3.1.42.59 eHDSIAllergyStatus (HL7, used in MH@EU); http://hl7.org/fhir/ValueSet/allergyintolerance-clinical (HL7, required in HL7 FHIR)'}"
EHDSAllergyIntolerance.onsetDate,,,,,,,,,,,EHDSAllergyIntolerance.onsetDate,EHDSAllergyIntolerance.onsetDate,When allergy or intolerance was identified,When allergy or intolerance was identified,dateTime,0..1,
EHDSAllergyIntolerance.endDate,,,,,,,,,,,EHDSAllergyIntolerance.endDate,EHDSAllergyIntolerance.endDate,Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition),Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition),dateTime,0..1,
EHDSAllergyIntolerance.reaction,,,,,,,,,,,EHDSAllergyIntolerance.reaction,EHDSAllergyIntolerance.reaction,Adverse Reaction Events linked to exposure to substance.,Adverse Reaction Events linked to exposure to substance.,Base,0..*,
EHDSAllergyIntolerance.reaction.manifestation,,,,,,,,,,,EHDSAllergyIntolerance.reaction.manifestation,EHDSAllergyIntolerance.reaction.manifestation,"Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).","Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).",CodeableConcept,0..*,"{'strength': 'preferred', 'description': '1.3.6.1.4.1.12559.11.10.1.3.1.42.5 eHDSIIllnessandDisorder (ICD-10, alternative in MH@EU); 1.3.6.1.4.1.12559.11.10.1.3.1.42.11 eHDSIReactionAllergy (SCT, alternative in MH@EU); ICD-11 MMS'}"
EHDSAllergyIntolerance.reaction.date,,,,,,,,,,,EHDSAllergyIntolerance.reaction.date,EHDSAllergyIntolerance.reaction.date,Date and time of allergy manifestation,Date and time of allergy manifestation,dateTime,0..1,
EHDSAllergyIntolerance.reaction.severity,,,,,,,,,,,EHDSAllergyIntolerance.reaction.severity,EHDSAllergyIntolerance.reaction.severity,Severity of the clinical manifestation of the allergic reaction.,Severity of the clinical manifestation of the allergic reaction.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': '1.3.6.1.4.1.12559.11.10.1.3.1.42.13 eHDSISeverity (SCT, used in MH@EU); http://hl7.org/fhir/ValueSet/reaction-event-severity (HL7, Required in HL7 FHIR)'}"
EHDSAllergyIntolerance.reaction.onsetDate,,,,,,,,,,,EHDSAllergyIntolerance.reaction.onsetDate,EHDSAllergyIntolerance.reaction.onsetDate,Date of the observation of the reaction,Date of the observation of the reaction,dateTime,0..1,
,HypersensitivityIntolerance.Condition,Condition,HypersensitivityIntolerance.Condition,NL: AandoeningOfGesteldheid,,0..1,"data,reference",NL-CM:8.6.2,The condition of which the hypersensitivity or intolerance is the interpretation.,,,,,,,,
,HypersensitivityIntolerance.WayOfDetermination,WayOfDetermination,HypersensitivityIntolerance.WayOfDetermination,NL: WijzeVanVastellen,CD,1,data,NL-CM:8.6.4,The way in which the hypersensitivity or intlerance is determined.,SNOMED CT: 418775008 Finding method,,,,,,,
,HypersensitivityIntolerance.Category,Category,HypersensitivityIntolerance.Category,NL: Categorie,CD,1..*,data,NL-CM:8.6.5,"Identifies the category of the agent to which the hypersensitivity or intolerance relates, such as medicines and nutritional substances.",,,,,,,,
,HypersensitivityIntolerance.DiagnosisNameData,DiagnosisNameData,HypersensitivityIntolerance.DiagnosisNameData,NL: DiagnoseNaamGegevens,,1,container,NL-CM:8.6.6,"Container of the DiagnosisNameData concept. This container contains all data elements of the DiagnosisNameData concept.
Represents the hypersensitivity as interpretation of the condition.",,,,,,,,
,HypersensitivityIntolerance.DiagnosisNameData.DiagnosisName,DiagnosisName,HypersensitivityIntolerance.DiagnosisNameData.DiagnosisName,NL: DiagnoseNaam,CD,1,data,NL-CM:8.6.7,The term with associated code that the care professional selects from the used code list to specify the diagnosis.,SNOMED CT: 439401001 Diagnosis,,,,,,,
,HypersensitivityIntolerance.DiagnosisNameData.FurtherSpecificationDiagnosisName,FurtherSpecificationDiagnosisName,HypersensitivityIntolerance.DiagnosisNameData.FurtherSpecificationDiagnosisName,NL: NadereSpecificatieDiagnoseNaam,ST,0..1,data,NL-CM:8.6.8,"A more detailed description of the name of the hypersensitivity or intolerance in free text, when this detail is not available in the used code list.",,,,,,,,
,HypersensitivityIntolerance.DiagnoisDate,DiagnoisDate,HypersensitivityIntolerance.DiagnoisDate,NL: DiagnoseDatum,TS,1,data,NL-CM:8.6.9,Date (and time) at which the care professional came to the diagnosis.,SNOMED CT: 432213005 Date of diagnosis,,,,,,,
,HypersensitivityIntolerance.Diagnostician::HealthProfessional,Diagnostician::HealthProfessional,HypersensitivityIntolerance.Diagnostician::HealthProfessional,NL: DiagnoseSteller::Zorgverlener,,1,"context,reference",NL-CM:8.6.10,The care professional that acquired the diagnostic insight regarding the hypersensitivity or intolerance. This can be a different individual than the person who recorded the diagnostic insight.,PRF performer,,,,,,,
,HypersensitivityIntolerance.Agent,Agent,HypersensitivityIntolerance.Agent,NL: Agens,,1,container,NL-CM:8.6.13,Container of the Agent concept. This container contains all data elements of the Agent concept.,SNOMED CT: 246075003 Causative agent,,,,,,,
,HypersensitivityIntolerance.Agent.Radiation,Radiation,HypersensitivityIntolerance.Agent.Radiation,NL: Straling,CD,(0..1),data,NL-CM:8.6.14,Radiation as trigger for an adverse reaction.,SNOMED CT: 82107009 Radiation,,,,,,,
