xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSSubstanceUse.header.language,,,,,,,,,,,EHDSSubstanceUse.header.language,EHDSSubstanceUse.header.language,Language in which the resource is written. Language is expressed by the IETF language tag.,Language in which the resource is written. Language is expressed by the IETF language tag.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'BCP 47'}"
EHDSSubstanceUse.period,AlcoholUse.ObservationOfUse.StartDate,StartDate,AlcoholUse.ObservationOfUse.StartDate,NL: StartDatum,TS,0..1,data,NL-CM:7.3.4,The date on which the patient started using alcohol.,,EHDSSubstanceUse.period,EHDSSubstanceUse.period,Time period for which this observation about substance use is applicable,Time period for which this observation about substance use is applicable,Period,0..1,
EHDSSubstanceUse.frequencyAndQuantity,,,,,,,,,,,EHDSSubstanceUse.frequencyAndQuantity,EHDSSubstanceUse.frequencyAndQuantity,The extent of the patient’s alcohol use in units of alcohol per time period.,The extent of the patient’s alcohol use in units of alcohol per time period.,Base,0..1,
EHDSSubstanceUse.frequencyAndQuantity.quantity,AlcoholUse.ObservationOfUse.Amount,Amount,AlcoholUse.ObservationOfUse.Amount,NL: Hoeveelheid,PQ,0..1,data,NL-CM:7.3.6,The extent of the patient’s alcohol use in units of alcohol per time period.,SNOMED CT: 897148007 Alcoholic beverage intake,EHDSSubstanceUse.frequencyAndQuantity.quantity,EHDSSubstanceUse.frequencyAndQuantity.quantity,Quantity (volume per time unit).,Quantity (volume per time unit).,Quantity,1..1,
EHDSSubstanceUse.frequencyAndQuantity.period,,,,,,,,,,,EHDSSubstanceUse.frequencyAndQuantity.period,EHDSSubstanceUse.frequencyAndQuantity.period,Time period of alcohol use.,Time period of alcohol use.,Period,0..1,
EHDSSubstanceUse.substanceType,,,,,,,,,,,EHDSSubstanceUse.substanceType,EHDSSubstanceUse.substanceType,Type of substance,Type of substance,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSSubstanceUse.routeOfAdministration,,,,,,,,,,,EHDSSubstanceUse.routeOfAdministration,EHDSSubstanceUse.routeOfAdministration,Route(s) of administration,Route(s) of administration,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'EDQM'}"
EHDSSubstanceUse.note,AlcoholUse.Comment,Comment,AlcoholUse.Comment,NL: Toelichting,ST,0..1,data,NL-CM:7.3.7,Relevant comments on the alcohol consumption.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSSubstanceUse.note,EHDSSubstanceUse.note,Textual comment.,Textual comment.,string,0..1,
,AlcoholUse.AlcoholUseStatus,AlcoholUseStatus,AlcoholUse.AlcoholUseStatus,NL: AlcoholGebruikStatus,CD,1,data,NL-CM:7.3.2,The status of the patient’s alcohol use.,SNOMED CT: 228273003 Finding relating to alcohol drinking behavior,,,,,,,
,AlcoholUse.ObservationOfUse,ObservationOfUse,AlcoholUse.ObservationOfUse,NL: WaarnemingGebruik,,0..1,container,NL-CM:7.3.3,Container of the ObservationOfUse concept. This container contains all data elements of the observation of alcohol use.,,,,,,,,
,AlcoholUse.ObservationOfUse.StopDate,StopDate,AlcoholUse.ObservationOfUse.StopDate,NL: StopDatum,TS,0..1,data,NL-CM:7.3.5,The date on which the patient stopped consuming alcohol.,,,,,,,,
