xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSProcedure.header.statusReason[x],,,,,,,,,,,EHDSProcedure.header.statusReason[x],EHDSProcedure.header.statusReason[x],Reason for the current status of the resource.,Reason for the current status of the resource.,CodeableConcept,0..1,
EHDSProcedure.header.subject,,,,,,,,,,,EHDSProcedure.header.subject,EHDSProcedure.header.subject,Subject,Patient/subject information,EHDSPatient,1..1,
EHDSProcedure.header.version,,,,,,,,,,,EHDSProcedure.header.version,EHDSProcedure.header.version,Version,Business version of the resource.,string,0..1,
EHDSProcedure.note,NursingIntervention.Comment,Comment,NursingIntervention.Comment,NL: Toelichting,ST,0..1,data,NL-CM:14.2.5,Comment on the nursing intervention.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,EHDSProcedure.note,EHDSProcedure.note,Additional information about the procedure,Additional information about the procedure,string,0..1,
EHDSProcedure.outcome,,,,,,,,,,,EHDSProcedure.outcome,EHDSProcedure.outcome,The outcome of the procedure - did it resolve the reasons for the procedure being performed?,The outcome of the procedure - did it resolve the reasons for the procedure being performed?,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSProcedure.performer,NursingIntervention.Performer,Performer,NursingIntervention.Performer,NL: Uitvoerder,,0..1,container,NL-CM:14.2.15,The person carrying out the nursing procedure.,,EHDSProcedure.performer,EHDSProcedure.performer,An actor who performed the procedure,An actor who performed the procedure,EHDSHealthProfessional,0..*,
EHDSProcedure.presentedForm,,,,,,,,,,,EHDSProcedure.presentedForm,EHDSProcedure.presentedForm,"A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document","A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document",EHDSAttachment,0..*,
EHDSProcedure.reason[x],NursingIntervention.Indication::NursingDiagnosis,Indication::NursingDiagnosis,NursingIntervention.Indication::NursingDiagnosis,NL: Indicatie::VerpleegkundigeDiagnose,,0..1,"data,reference",NL-CM:14.2.19,The nursing diagnosis that serves as the indication for the nursing intervention.,,EHDSProcedure.reason[x],EHDSProcedure.reason[x],The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, ICD-10, Orphacode if rare disease is diagnosed'}"
EHDSProcedure.reason[x],NursingIntervention.Indication::Problem,,,,,,,,,,EHDSProcedure.reason[x],EHDSProcedure.reason[x],The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'SNOMED CT, ICD-10, Orphacode if rare disease is diagnosed'}"
,NursingIntervention.Frequency,Frequency,NursingIntervention.Frequency,NL: Frequentie,PQ,0..1,data,NL-CM:14.2.4,"The frequency describes how often and in which period certain procedures are carried out, e.g. 3x a day.",SNOMED CT: 153681000146109 Procedure frequency,,,,,,,
,NursingIntervention.Instruction,Instruction,NursingIntervention.Instruction,NL: Instructie,ST,0..1,data,NL-CM:14.2.18,Instructions for performing the nursing action. This is particularly at issue when the action is performed by the patient himself or by a caregiver.,,,,,,,,
,NursingIntervention.Interval,Interval,NursingIntervention.Interval,NL: Interval,PQ,0..1,data,NL-CM:14.2.3,"Interval indicates the time between planned procedures.  
When entering an interval, the focus is on the time between the consecutive procedures, such as in the treatment of a wound, for example. The exact times are of lesser importance.",SNOMED CT: 153691000146106 Interval between procedures,,,,,,,
,NursingIntervention.Performer.Caregiver::ContactPerson,Caregiver::ContactPerson,NursingIntervention.Performer.Caregiver::ContactPerson,NL: Verzorger::ContactPersoon,,(0..1),"context,reference",NL-CM:14.2.16,The caregiver carrying out the nursing procedure.,,,,,,,,
,NursingIntervention.Performer.HealthProfessional,HealthProfessional,NursingIntervention.Performer.HealthProfessional,NL: Zorgverlener,,(0..1),"context,reference",NL-CM:14.2.7,The health professional carrying out the nursing procedure.,,,,,,,,
,NursingIntervention.Performer.Patient,Patient,NursingIntervention.Performer.Patient,NL: Patient,,(0..1),"context,reference",NL-CM:14.2.17,The patient carrying out the nursing procedure.,,,,,,,,
,NursingIntervention.Requester::HealthProfessional,Requester::HealthProfessional,NursingIntervention.Requester::HealthProfessional,NL: Aanvrager::Zorgverlener,,0..*,"context,reference",NL-CM:14.2.8,"The health professional who requested the nursing intervention. If desired, only the requester’s specialty can be entered.",,,,,,,,
,NursingIntervention.TreatmentObjective,TreatmentObjective,NursingIntervention.TreatmentObjective,NL: Behandeldoel,,0..1,"data,reference",NL-CM:14.2.14,The description of the treatment goal that the intervention decision is based on.,,,,,,,,
